Nome,Província,Temp_Média_Anual_(°C),Precipitação_Anual_(mm),Tipo_Clima,Uso_Solo_(LULC),Cobertura_Vegetal_(%),Altitude_(m),Distância_Corpo_Água_(km)
Baía Azul,Benguela,27.1,280,Tropical seco,Zona costeira urbana,35,12,0.3
Cristo Rei,Benguela,26.5,310,Tropical seco,Urbano / rochoso,25,85,1.5
Quedas de Kalandula,Malanje,24.8,1300,Tropical húmido,Floresta densa,90,1050,0.2
Serra da Leba,Huíla,21.7,480,Subtropical seco,Montanhosa / savana,60,1850,3.4
Miradouro da Lua,Luanda,28.9,350,Tropical semiárido,Solo árido / erosão,10,150,5.0
Pedras Negras de Pungo Andongo,Malanje,25.1,1100,Tropical húmido,Formação rochosa / savana,55,950,1.1
Quissama Parque Nacional,Luanda,28.3,420,Tropical seco,Savana aberta,70,180,4.8
Lagoa do Carumbo,Lunda Norte,23.5,1500,Equatorial húmido,Floresta alagada,95,880,0.1
Tundavala,Huíla,20.9,520,Subtropical seco,Montanhosa / rochosa,45,2200,2.2
Cachoeira do Binga,Cuanza Sul,25.6,1000,Tropical húmido,Floresta / savana,75,700,0.3
Cataratas do Ruacaná,Cunene,26.3,430,Semiárido,Rio / vegetação ribeirinha,80,1020,0.0
Morro do Moco,Huambo,19.8,1450,Subtropical húmido,Floresta montanhosa,85,2620,2.0
Fenda da Tundavala,Huíla,20.5,510,Subtropical seco,Montanhosa / rochosa,50,2050,3.1
Praia Morena,Benguela,27.4,290,Tropical seco,Zona costeira urbana,30,10,0.4
Ilha do Mussulo,Luanda,28.2,360,Tropical semiárido,Zona costeira / dunas,20,5,0.2
